id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
CM-55.008_12637,"Santerno Fauteuil","Kleur: Wit",https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Ivoor_Boucle_76x75x90_cm_Perspectief.jpg,https://demo.tomassotables.com/santerno-fauteuil/?attribute_pa_kleur=wit,"Fauteuils","Tomasso Tables",384EUR,in stock,Santerno Fauteuil_12616,,"https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Grijs_Boucle_76x75x90_cm_Perspectief.jpg",,0,new,published,,,,,,,"kleur:Bruin/Beige/Wit/Grijs:Wit"
CM-55.009_12636,"Santerno Fauteuil","Kleur: Beige",https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Naturel_Boucle_76x75x90_cm_Perspectief.jpg,https://demo.tomassotables.com/santerno-fauteuil/?attribute_pa_kleur=beige,"Fauteuils","Tomasso Tables",384EUR,in stock,Santerno Fauteuil_12616,,"https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Grijs_Boucle_76x75x90_cm_Perspectief.jpg",,0,new,published,,,,,,,"kleur:Bruin/Beige/Wit/Grijs:Beige"
CM-55.011_12635,"Santerno Fauteuil","Kleur: Bruin",https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Bruin_Boucle_76x75x90_cm_Perspectief.jpg,https://demo.tomassotables.com/santerno-fauteuil/?attribute_pa_kleur=bruin,"Fauteuils","Tomasso Tables",384EUR,in stock,Santerno Fauteuil_12616,,"https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Grijs_Boucle_76x75x90_cm_Perspectief.jpg",,0,new,published,,,,,,,"kleur:Bruin/Beige/Wit/Grijs:Bruin"
CM-55.003_12633,"Mandrella Fauteuil","Kleur: Grijs",https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Antraciet_Microvezel_76x75x90_cm_Perspectief.jpg,https://demo.tomassotables.com/mandrella-fauteuil/?attribute_pa_kleur=grijs,"Fauteuils","Tomasso Tables",384EUR,in stock,Mandrella Fauteuil_12615,,"https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Army_Microvezel_76x75x90_cm_Perspectief.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Antraciet_Microvezel_76x75x90_cm_Voorkant.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Antraciet_Microvezel_76x75x90_cm_Zijkant.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Antraciet_Microvezel_76x75x90_cm_Achterkant.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Antraciet_Microvezel_76x75x90_cm_Detail.jpg",,0,new,published,,,,,,,"kleur:Antraciet/Lichtgrijs/Bruin/Grijs/Groen:Grijs"
CM-55.005_12632,"Mandrella Fauteuil","Kleur: Bruin",https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Cognac_Microvezel_76x75x90_cm_Perspectief.jpg.jpg,https://demo.tomassotables.com/mandrella-fauteuil/?attribute_pa_kleur=bruin,"Fauteuils","Tomasso Tables",384EUR,in stock,Mandrella Fauteuil_12615,,"https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Army_Microvezel_76x75x90_cm_Perspectief.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Cognac_Microvezel_76x75x90_cm_Voorkant.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Cognac_Microvezel_76x75x90_cm_Zijkant.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Cognac_Microvezel_76x75x90_cm_Achterkant.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Cognac_Microvezel_76x75x90_cm_Detail.jpg",,0,new,published,,,,,,,"kleur:Antraciet/Lichtgrijs/Bruin/Grijs/Groen:Bruin"
CM-55.006_12631,"Mandrella Fauteuil","Kleur: Lichtgrijs",https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Zinc_Weave_76x75x90_cm_Perspectief.jpg,https://demo.tomassotables.com/mandrella-fauteuil/?attribute_pa_kleur=lichtgrijs,"Fauteuils","Tomasso Tables",384EUR,in stock,Mandrella Fauteuil_12615,,"https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Army_Microvezel_76x75x90_cm_Perspectief.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Zinc_Weave_76x75x90_cm_Voorkant.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Zinc_Weave_76x75x90_cm_Zijkant.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Zinc_Weave_76x75x90_cm_Achterkant.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Zinc_Weave_76x75x90_cm_Detail.jpg",,0,new,published,,,,,,,"kleur:Antraciet/Lichtgrijs/Bruin/Grijs/Groen:Lichtgrijs"
CM-55.007_12630,"Mandrella Fauteuil","Kleur: Antraciet",https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Antraciet_Weave_76x75x90_cm_Perspectief.jpg,https://demo.tomassotables.com/mandrella-fauteuil/?attribute_pa_kleur=antraciet,"Fauteuils","Tomasso Tables",384EUR,in stock,Mandrella Fauteuil_12615,,"https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Army_Microvezel_76x75x90_cm_Perspectief.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Antraciet_Weave_76x75x90_cm_Voorkant.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Antraciet_Weave_76x75x90_cm_Zijkant.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Antraciet_Weave_76x75x90_cm_Achterkant.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Tod_Antraciet_Weave_76x75x90_cm_Detail.jpg",,0,new,published,,,,,,,"kleur:Antraciet/Lichtgrijs/Bruin/Grijs/Groen:Antraciet"
XS-40.052_12628,"Novello Fauteuil","Kleur: Bruin",https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Enzo_Cognac_Microvezel_65x68x79_cm.jpg,https://demo.tomassotables.com/novello-fauteuil/?attribute_pa_kleur=bruin,"Fauteuils","Tomasso Tables",186EUR,out of stock,Novello Fauteuil_12614,,"https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Enzo_Army_Microvezel_65x68x79_cm.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Enzo_Army_Microvezel_65x68x79_cm.jpg",,0,new,published,,,,,,,"kleur:Groen/Donkerbruin/Grijs/Lichtbruin/Bruin:Bruin"
XS-40.049_12627,"Novello Fauteuil","Kleur: Grijs",https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Enzo_Antraciet_Microvezel_65x68x79_cm.jpg,https://demo.tomassotables.com/novello-fauteuil/?attribute_pa_kleur=grijs,"Fauteuils","Tomasso Tables",186EUR,out of stock,Novello Fauteuil_12614,,"https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Enzo_Army_Microvezel_65x68x79_cm.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Enzo_Army_Microvezel_65x68x79_cm.jpg",,0,new,published,,,,,,,"kleur:Groen/Donkerbruin/Grijs/Lichtbruin/Bruin:Grijs"
XS-40.050_12626,"Novello Fauteuil","Kleur: Lichtbruin",https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Enzo_Tanny_Microvezel_65x68x79_cm.jpg,https://demo.tomassotables.com/novello-fauteuil/?attribute_pa_kleur=lichtbruin,"Fauteuils","Tomasso Tables",104EUR,out of stock,Novello Fauteuil_12614,,"https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Enzo_Army_Microvezel_65x68x79_cm.jpg,https://demo.tomassotables.com/wp-content/uploads/Fauteuil_Enzo_Army_Microvezel_65x68x79_cm.jpg",,0,new,published,,,,,,,"kleur:Groen/Donkerbruin/Grijs/Lichtbruin/Bruin:Lichtbruin"
